SMILES,n_np
CCCO,1
CCCC(CC)C,1
CCC[C@@H](C1(CC)C(=O)NC(=S)NC1=O)C,1
CCCSc1ccc2c(c1)[nH]/c(=N/C(=O)OC)/[nH]2,1
CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCN(CC1)C)c(c2)F,0
CCn1ccc(=O)c(c1C)O,1
CCc1c(O)c(=O)ccn1CC,1
CCN1CN(C2(C1=O)CCN(CC2)CCCC(=O)c1ccc(cc1)F)c1ccc(cc1)Br,1
COCC1(CCN(CC1)CCn1nnn(c1=O)CC)N(c1ccccc1)C(=O)CC,1
CCn1cc(C(=O)O)c(=O)c2c1c(F)c(N1CCN[C@H](C1)C)c(c2)F,0
CCO,1
CCOC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F,1
CCOC(=O)[C@@H](N[C@H](C(=O)N1CCC[C@H]1C(=O)O)C)CCc1ccccc1,0
CC[C@@H](C(=O)O[C@H]1C[C@H](O)C=C2[C@@H]1[C@@H](CC[C@@H](C[C@@H](CC(=O)O)O)O)[C@H](C=C2)C)C,0
CC[C@H](NCCN[C@H](CO)CC)CO,0
CC[C@@H](c1ccccc1)NC(=O)c1c(Cn2ccnc2)c(nc2c1cccc2)c1ccccc1,0
CC[C@@H](c1ccccc1)NC(=O)c1c(OCC(=O)O)c(nc2c1cccc2)c1ccccc1,0
CC[C@@H](c1ccccc1)NC(=O)c1c(OCCCC(=O)O)c(nc2c1cccc2)c1ccccc1,0
CC[C@@H](c1ccccc1)NC(=O)c1c(OCCCN(C)C)c(nc2c1cccc2)c1ccccc1,1
CC[C@@H](c1ccccc1)NC(=O)c1c(O)c(nc2c1cccc2)c1ccccc1,1
CC[C@@H](c1ccccc1)NC(=O)c1c(C)c(nc2c1cccc2)c1ccccc1,1
O=C(N([C@H]1CCCC[C@@H]1N1CCCC1)C)Cc1ccc(c(c1)Cl)Cl,1
Clc1ccc(cc1)C1(O)CCN(CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,0
O=C(N(C)C)Cn1nc(ccc1=O)c1c(nn2c1cccc2)c1ccccc1,1
CN(Cc1ccc(o1)CSCCNc1ncc(c(=O)[nH]1)Cc1ccc(nc1)C)C,0
FCCc1ccc(c(c1)N)Sc1ccccc1N(C)C,1
CN(c1c(C)n(n(c1=O)c1ccccc1)C)C,1
CN(Cc1ccc(o1)CSCCNc1[nH]ccc1N(=O)=O)C,0
CN(Cc1ccc(o1)CSCCNc1ncc(c(=O)[nH]1)Cc1ccc2c(c1)cccc2)C,0
CN(Cc1ccc(o1)c1cccc(c1)Nc1[nH]ccc1N(=O)=O)C,1
CN(Cc1ccc(o1)SCCNc1[nH]cc(c1N(=O)=O)Cc1ccccc1)C,1
CN(Cc1ccnc(c1)c1cccc(c1)Nc1[nH]ccc1N(=O)=O)C,1
CN(Cc1ccc(o1)CSCCNC1=NC=C(CN1)Cc1ccc(nc1)C)C,0
CN(/N=N/c1[nH]cnc1C(=O)N)C,1
Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,1
Cn1cnc2c1c(=O)n(C)c(=O)n2C,1
CN1CCC(CC1)n1nc(ccc1=O)c1c(nn2c1cccc2)c1ccccc1,1
CN1CCN(CC1)c1c(F)cc2c3c1SCCn3cc(c2=O)C(=O)O,0
CN1CCN(CC1)C1=Nc2ccccc2Nc2c1cc(s2)C,1
CN1CCN(CC1)c1cc2c(cc1F)c(=O)c(cn2c1ccc(cc1)F)C(=O)O,0
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1c(ccc2)C(F)(F)F,1
Ic1scc(c1)C(=O)CCCN1CCC2(CC1)N(CN(C2=O)C)c1ccccc1,1
Fc1c(C)n(n(c1=O)c1ccccc1)C,1
O=C(C1=C(O)c2ccccc2S(=O)(=O)N1C)Nc1ccccn1,0
Cc1cnc(s1)NC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,0
Cc1onc(c1)NC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,0
CN1C[C@H](C[C@@H]2[C@@H]1Cc1c[nH]c3c1c2ccc3)C(=O)NC1(C)OC2(N(C1=O)[C@@H](Cc1ccccc1)C(=O)N1[C@H]2CCC1)O,0
Clc1ccc2c(c1)[C@H]1CN(C[C@@H]1c1c(O2)cccc1)C,1
C/N=C(/CN(=O)=O)\NCCSc1ccc(o1)CN(C)C,0
CNCCCN1c2ccccc2Sc2c1cccc2,1
COc1ccc(cc1)CN(c1ccccn1)CCN(C)C,1
COc1ccc2c(c1)nc([nH]2)S(=O)Cc1ncc(c(c1C)OC)C,0
COC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1,1
COC(=O)[C@H]1[C@@H](C)C=C(C=C1O)Nc1cccc(c1)OC(F)(F)F,1
COC(=O)[C@H]1[C@@H](C)C=C(C=C1O)Nc1ccc(cc1)Cl,1
COC(=O)[C@H]1[C@@H](C)C=C(C=C1O)Nc1cccc(c1)N(=O)=O,1
COC(=O)/N=c/1\[nH]c2c([nH]1)cc(cc2)C(=O)N1CCN(CC1)c1ccccn1,0
COc1ccc(cc1CN[C@H]1C2CCN(C1C(c1ccccc1)c1ccccc1)CC2)C(C)(C)C,1
COc1ccc(cc1CN[C@H]1C2CCN([C@H]1C(c1ccccc1)c1ccccc1)CC2)C(O)(C)C,1
COc1ccc(cc1CN[C@H]1C2CCN([C@H]1C(c1ccccc1)c1ccccc1)CC2)C(C)C,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C(C)(C)C,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C(C)C,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)N1CCCC1=O,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)n1nc(cc1C)C,1
COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,1
COc1cc(CN[C@H]2CCCN[C@H]2c2ccccc2)c2c(c1)CCO2,1
COc1cccc(c1)CC1CCN(CC1)[C@@H]1CCC(CC1)(OC)c1ccc2c(c1)OCO2,1
COc1cc2CCN(c2cc1CN[C@H]1C2CCN(C1C(c1ccccc1)c1ccccc1)C2)S(=O)(=O)C,1
COc1cc2C[C@@H](N(c2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)S(=O)(=O)C)C,1
COc1cc2oc(nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C,1
COc1cc2sc(nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C,1
COc1cc2sc(nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C(C)(C)C,1
COc1cc2sc(nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)c1ccccc1,1
COc1cc2sc(nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C1CC1,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)c1nccs1,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)N(S(=O)(=O)C)c1sc(c(n1)C)C,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)S(=O)(=O)C,1
COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)OC(F)(F)F,1
COc1ccc2c(c1)[C@H](CC(=O)O)[C@@H](N2C(=O)c1ccc(cc1)Cl)C,0
COCCc1ccc(cc1)OC[C@H](CNC(C)C)O,1
CO[C@H]1CN(CCCOc2ccc(cc2)F)CC[C@@H]1NC(=O)c1cc(Cl)c(cc1OC)N,1
C[C@@H]([C@H](c1cccc(c1)O)O)N,0
O=C1NC(=O)CN(C1)C[C@@H](N1CC(=O)NC(=O)C1)C,0
CCCNC(=O)c1ccc2c(c1)N([C@H](CN1CCCC1)C)c1c(S2)cccc1,1
C[C@@H]1N[C@@H](C)CN(C1)c1c(F)c(N)c2c(c1F)n(cc(c2=O)C(=O)O)C1CC1,0
OCC(=O)C1(O)CC[C@@H]2C1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CCC12C,0
C#CC1(O)CC[C@@H]2C1(C)CC[C@H]1[C@@H]2[C@@H](C)CC2=C1CCC(=O)C2,1
O=C1CCC2(C(=C1)CC[C@H]1[C@@H]2CCC2([C@H]1CCC2O)C)C,1
OCC(=O)[C@H]1CC[C@@H]2C1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CCC12C,0
CS(=O)(=O)OCCCCOS(=O)(=O)C,1
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1)c1c(S2)cccc1,1
Clc1cccc(c1N[C@@H]1NCC=N1)Cl,1
Clc1ccc(cc1N=C1NCCN1)Cl,1
Clc1cc(Cl)cc(c1N=C1NCCN1)Cl,1
Clc1cc(Br)cc(c1N=C1NCCN1)Cl,1
Clc1ccc2c(c1)[C@H]1CNC[C@@H]1c1c(O2)cccc1,1
O=C1CN=C(c2c(N1)cccc2Cl)c1ccccc1,1
FC(Oc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)OC(F)(F)F)F,1
Fc1cccc(c1N=C1NCCN1)F,1
F/C=C/O/C=C/F,1
CCN/C(=N\C#N)/NCCSCc1ncccc1Br,0
Nc1ccc(c(c1)O)C(=O)O,0
CN(c1nccc(c1)c1n[nH]c(n1)N)C,0
OC[C@@H]1O[C@@H](C[C@@H]1O)n1cnc2c1nc(Cl)nc2N,1
OC[C@@H]1O[C@@H]([C@H]([C@@H]1O)O)n1cnc2c1ncnc2N,1
Nc1ccc(c(n1)N)/N=N/c1ccccc1,0
OC[C@@H]1C=C[C@H](C1)n1cnc2c1nc(N)nc2NC1CC1,1
NC(=N)NC[C@H]1COC2(O1)CCCCC2,0
NC(=O)c1cnccn1,1
NC(=O)[C@@H]1c2ccccc2C2C(c3c1cccc3)O2,1
NC(=O)C1c2ccccc2C=Cc2c1cccc2,1
OC[C@@H]1O[C@@H]([C@H]([C@@H]1O)O)n1cnc(n1)C(=O)N,1
NC(=O)N1c2ccccc2C2C(c3c1cccc3)O2,1
N#C/N=C(/Nc1cccc(c1)c1csc(n1)N=C(N)N)\NC,0
Nc1cccc(c1)c1csc(n1)N=C(N)N,0
NC(=Nc1scc(n1)c1ccccc1)N,1
NC(=O)N,1
Nc1cccc(n1)CN1CCC(CC1)NC(=O)C([C@H]1CCC(C1)(F)F)(c1ccccc1)O,1
OC[C@H]1O[C@@H](C[C@H]1CO)n1ccc(nc1=O)N,1
Nc1ccn(c(=O)n1)[C@@H]1CC[C@H](O1)CO,1
OC[C@@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccc(nc1=O)N,1
NCCc1scc(n1)c1ccccc1,0
NCCc1nc2n(c1)cccc2,0
NCCc1nccs1,1
NCCCN1c2ccccc2CCc2c1cccc2,1
NCCCNCCSP(=O)(O)O,0
NC[C@H](c1ccc(c(c1)O)O)O,0
NNC(=O)c1ccncc1,1
N[C@H]1CONC1=O,1
NC1[C@H]2[C@H]1CN(C2)c1nc2c(cc1F)c(=O)c(cn2c1ccc(cc1F)F)C(=O)O,1
OC(=O)c1cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N,0
Clc1cc2NC=NS(=O)(=O)c2cc1S(=O)(=O)N,0
Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,0
Oc1ccc2c(c1)c(CCCCN1CCC(=CC1)c1ccccc1)c[nH]2,1
O[C@H]1CCN(C1)C[C@H]1CN(CCN1C(=O)Cc1cc(F)cc(c1)F)C(=O)C,0
COc1ccc(cc1)CC(=O)N1CCN(C[C@@H]1CN1CC[C@@H](C1)O)C(=O)C,0
O[C@H]1CCN(C1)C[C@H]1CN(CCN1C(=O)Cc1ccc(cc1)C(F)(F)F)C(=O)C,0
O[C@H]1CCN(C1)C[C@H]1CN(CCN1C(=O)Cc1ccc(cc1)S(=O)(=O)C)C(=O)C,0
O[C@H]1CCN(C1)C[C@H]1CN(CCN1C(=O)Cc1ccc(cc1)S(=O)C)C(=O)C,0
O=C(c1ccccc1)NCCCOc1cccc(c1)CN1CCCCC1,1
CC[C@@H](c1ccccc1)NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(nc2c1cccc2)c1ccccc1,0
CC[C@@H](c1ccccc1)NC(=O)c1c(OCCNC(=O)[C@@H]2CCCN2)c(nc2c1cccc2)c1ccccc1,0
OC(=O)P(=O)(O)O,1
CCCOC(=O)N1CCN([C@H](C1)CN1CCCC1)C(=O)Cc1ccc(c(c1)Cl)Cl,1
Cn1cnc2c1c(=O)n(c(=O)[nH]2)C,1
O=c1ccc(nn1CCN1CCCCC1)c1c(nn2c1cccc2)c1ccccc1,1
Cn1ccc(=O)c(c1C)O,1
O=C(N1CC(=O)N2[C@H](C1)c1ccccc1CC2)C1CCCCC1,1
Clc1ccc(cc1)[C@@H]1CC[C@H](CC1)C1=C(O)c2c(C(=O)C1=O)cccc2,0
Brc1cccnc1CSCCNc1[nH]ccc1C(=O)O,1
OC(=O)c1ccccc1O,0
Fc1cc2c(cc1N1CCNCC1)n(cc(c2=O)C(=O)O)C1CC1,0
ClCCN(c1ccc(cc1)CCCC(=O)O)CCCl,0
OC(=O)CCCCCCCC(=O)O,0
OC(=O)CNC(=O)c1ccccc1O,1
OC(=O)COc1ccc(cc1Cl)Cl,1
CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,0
CN1Cc2c(ncn2c2c(C1=O)c(Cl)ccc2)c1noc(n1)C(O)(C)C,0
FCOC[C@H](Cn1ccnc1N(=O)=O)O,1
O=c1[nH]cnc2c1c[nH]n2,1
OCC(CO)(CO)N,0
OCCCCn1ccc(=O)c(c1CC)O,0
Cc1c(O)c(=O)ccn1CCCO,0
OCCCOc1cccc(c1)CN1CCCCC1,1
OCCn1ccc(=O)c(c1CC)O,0
OC[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O,0
OC[C@@H]1O[C@@H](C[C@@H]1O)n1cnc2c1N=CNC[C@@H]2O,1
NC(=O)NO,1
O[C@@H](c1cc(nc2c1cccc2C(F)(F)F)C(F)(F)F)[C@@H]1CCCCN1,1
C=CCN1CCC23[C@H]4C1Cc1c3c(O[C@@H]2[C@H](C=C4)O)c(cc1)O,1
O[C@H]1CCN(C1)C[C@@H](N(C(=O)Cc1ccccc1N)C)c1ccccc1,0
O=C(N1CCC(C[C@H]1CN1CCCC1)(C)C)Cc1ccc(c(c1)Cl)Cl,1
COC(=O)N1CCN([C@H](C1)CN1CCCC1)C(=O)Cc1ccc(c(c1)Cl)Cl,1
CCOC(=O)N1CCN([C@H](C1)CN1CCCC1)C(=O)Cc1ccc(c(c1)Cl)Cl,1
OCCN1CCN([C@H](C1)CN1CC[C@@H](C1)O)C(=O)Cc1ccc(c(c1)Cl)Cl,0
O=C1NC(=O)C2(N1)CCN([C@@H](C2)CN1CCCC1)C(=O)Cc1ccc(c(c1)Cl)Cl,0
O=C(N1CCc2c([C@@H]1CN1CCCC1)scc2)Cc1ccc(c(c1)Cl)Cl,1
O=C(N1CCc2c([C@@H]1CN1CCCC1)nc[nH]2)Cc1ccc(c(c1)Cl)Cl,0
O=C(N1CCc2c([C@H]1CN1CCCC1)cco2)Cc1ccc(c(c1)Cl)Cl,1
OC1CCN(C1)C[C@H]1N(CCc2c1cco2)C(=O)Cc1ccc(c(c1)Cl)Cl,1
O=C(N1CCc2c([C@H]1CN1CCCC1)ccs2)Cc1ccc(c(c1)Cl)Cl,1
O=C(N1CCn2c([C@@H]1CN1CCCC1)ncc2)Cc1ccc(c(c1)Cl)Cl,1
O[C@H]1CCN(C1)C[C@@H]1N(CCn2c1ncc2)C(=O)Cc1ccc(c(c1)Cl)Cl,0
O=C(N1CCn2c([C@@H]1CN1CCCC1)ncn2)Cc1ccc(c(c1)Cl)Cl,1
O=C1CCCN1CCCCN1CCN(CC1)c1nc(Cl)cc(c1)C(F)(F)F,1
OCC(c1onc(n1)c1ncn2c1CN(C)C(=O)c1c2cccc1Cl)(O)C,0
FC(c1ccc(nc1Cl)N1CCNCC1)(F)F,1
O=C1CC(=O)N(c2c(N1)ccc(c2)Cl)c1ccccc1,1
CN1CC[C@H]2[C@H](C1)c1ccccc1Oc1c2cc(Cl)cc1,1
Clc1ccc2c(c1)[C@H]1CCNC[C@@H]1c1c(O2)cccc1,1
O=C(N1CCCC[C@H]1CN1CCCC1)Cc1ccc(c(c1)Cl)Cl,1
O=C(N1CCN(C[C@@H]1CN1CCCC1)C(=O)C)Cc1ccc(c(c1)Cl)Cl,1
O=C(N1CCc2c([C@H]1CN1CCCC1)cccc2)Cc1ccc(c(c1)Cl)Cl,1
NCCCN1c2ccccc2Sc2c1cc(Cl)cc2,1
CNCCCN1c2ccccc2Sc2c1cc(Cl)cc2,1
ClCC(F)(F)F,1
O=C(N1CCCC[C@H]1CN1CCCC1)Cc1ccc(cc1)C(F)(F)F,1
O=C1CCCN1CCCCN1CCN(CC1)c1nccc(c1)C(F)(F)F,1
FC(C1(C#CC2CC2)OC(=O)Nc2c1cc(Cl)cc2)(F)F,0
OCc1ncc2n1c1ccc(cc1C(=NC2)c1ccccc1F)Cl,1
Clc1ccc2c(c1)C(=N[C@H](c1n2c(C)nc1)O)c1ccccc1F,1
S=C(N1CCC(CC1)c1cnc[nH]1)NC1CCCCC1,1
CCCCCCCC,1
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Br,1
Cl[C@H](C(F)(F)F)Br,1
CN/C(=N\CCSCc1ccc(o1)CN(C)C)/CN(=O)=O,0
OC[C@H](c1ccccc1)C(=O)O[C@@H]1C[C@@H]2N([C@@H](C1)[C@H]1[C@H]2O1)C,1
C1CC1,1
CC(Br)C,1
CCCBr,1
C=CC=C,1
CCCCCCC=C,1
CCCCCCCCC,1
CC=C,1
C[C@H]1CCCC[C@@H]1C,1
CCCCCC(C)C,1
CCCCCCCC(C)C,1
CCCCCCCCC=C,1
CCCCCCCCCC,1
CC(C1CCCCC1)(C)C,1
CCCCCCC(C)C,1
CCCCCCCC=C,1
F[C@H](C(F)(F)F)Br,1
C[C@H]1CC[C@@H]([C@H](C1)C)C,1
O=C(c1ncn2c1[C@@H]1CCCN1C(=O)c1c2cccc1Br)OC(C)(C)C,1
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)C(=O)NCN2c1ccc(cc1)Br,1
Brc1cccnc1CSCCNc1[nH]ccc1N(=O)=O,1
Cl[C@H](CC(F)(F)F)Br,1
F[C@H](CC(F)(F)F)Br,1
Br[C@@H]1NC[C@@H]2C[C@H]1c1cccc(=O)n1C2,1
CC(=O)NCCCOc1cccc(c1)CN1CCCCC1,1
CCN1CCN(C(=O)C1=O)C(=O)N[C@@H](c1ccc(cc1)O)C(=O)NC1C(=O)N2[C@H]1SCC(=C2C(=O)O)CSc1nnnn1C,1
CN([C@@H]1C(=O)C(=C(C2([C@H]1C[C@H]1C(=C(O)c3c(C1(C)O)cccc3O)C2=O)O)O)C(=O)NCN1CCCC1)C,1
O=C1[C@@H](CCc2c1c1ccccc1n2C)Cn1ccnc1C,1
ClCCl,1
NC(=O)C[C@@H](C(=O)N[C@H]([C@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,1
O[C@H](COc1cccc2c1C[C@H](O)[C@H](C2)O)CNC(C)(C)C,1
CN1CCN(CC1)C1=c2ccccc2=Nc2c(N1)cc(Cl)cc2,1
CN1Cc2c(ncn2c2c(C1=O)scc2)C(=O)OC(C)(C)C,1
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,1
C[C@@H](COc1c(C)cccc1C)N,1
CN(Cc1ccc(o1)c1cccc(c1)N[C@H]1N=CC=C1N(=O)=O)C,1
Clc1cccc(c1)OC1CCN(CC1)CC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)[nH]cc2,1
CN(Cc1ccnc(c1)c1cccc(c1)N[C@H]1N=CC=C1N(=O)=O)C,1
CNCCCC12CCC(c3c1cccc3)c1c2cccc1,1
CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]1C(=O)N2[C@H]1SCC(=C2C(=O)O)COC(=O)C,1
CN(Cc1ccc(o1)CSCCN[C@H]1N=CC=C1N(=O)=O)C,0
CO/N=C(\C(=O)NC1C(=O)N2[C@H]1SCC(=C2C(=O)O)COC(=O)N)/c1ccco1,1
O=N(=O)C1=CC=N[C@@H]1NCCSCc1ccccn1,1
ClC[C@H](Cn1c(C)ncc1N(=O)=O)O,1
CO/N=C(/c1csc(n1)N)\C(=O)NC1C(=O)N2[C@H]1SCC(=C2C(=O)O)CSc1nc(=O)c(nn1C)O,1
O=N(=O)C1=CC=N[C@@H]1NCCSCc1ncccc1Br,1
CCCCC[C@@H](/C=C/[C@@H]1C(O)CC(=O)[C@H]1CCCCCCC(=O)O)O,0
N[C@@H](c1ccccc1)C(=O)NC1C(=O)N2[C@H]1SC([C@@H]2C(=O)O)(C)C,0
O=C1CCC2(C(=C1)CC[C@H]1[C@@H]2CCC2([C@H]1CCC2(C)O)C)C,0
FC(c1ccc2c(c1)N(CCCN1CCN(CC1)CCC1OCCCO1)c1c(S2)cccc1)(F)F,1
O=c1[nH]c2c(n1C1CCN(CC1)CCOc1ccccc1)cccc2,1
COc1ccc2c3c1O[C@H]1C43CCN(C(C2)C4(O)CCC1=O)C,1
O=C1CCC2(C34C1Oc1c4c(CC2N(CC3)C)ccc1O)O,1
CN1CCC[C@@H](C1)CN1c2ccccc2Sc2c1cccc2,1
NC(=Nc1scc(n1)CSCC/C(=N\S(=O)(=O)N)/N)N,1
NCC1(CCCCC1)CC(=O)O,1
OCC(=O)C1(O)[C@@H](C)C[C@@H]2C1(C)C[C@H](O)C1([C@H]2CCC2=CC(=O)C=CC12C)F,0
